State,Action,Q-value
"(8, 17)",left,-4.697527730620551
"(8, 17)",right,-4.54459122233036
"(8, 18)",up,-4.431592210884838
"(8, 18)",down,-4.5220404294773235
"(8, 18)",left,-4.384839519816039
"(8, 18)",right,-3.7239545147086663
"(8, 19)",up,-4.462359418019524
"(8, 19)",down,-4.380803669833041
"(8, 19)",left,-4.453360076587384
"(8, 19)",right,-4.398242877341301
"(9, 0)",up,-7.4167605906132055
"(9, 0)",down,-7.4178607041401525
"(9, 0)",left,-7.434897461515971
"(9, 0)",right,-7.423811045720113
"(9, 1)",up,-7.405806516450203
"(9, 1)",down,-7.3907768490869135
"(9, 1)",left,-7.40687059678254
"(9, 1)",right,-7.390405941218594
"(9, 2)",up,-7.354529173089357
"(9, 2)",down,-7.357924350616348
